location_type,parent_station,stop_code,stop_desc,stop_id,stop_lat,stop_lon,stop_name,stop_timezone,stop_url,wheelchair_boarding,zone_id
0,,264201,,1,40.474412,17.969536,Cellino S. Marco - Via Napoli - Comune,,,,
0,,127301,,2,40.64439,17.98901,Brindisi - Viale E. Fermi - Himont - Direzione Brindisi,,,,
0,,202902,,3,40.728117,17.568863,Ostuni - Zona 167 - Incrocio Focolare - Direzione Cisternino,,,,
0,,118301,,4,40.549991,17.807685,Mesagne - Via Foggia - civico 62,,,,
0,,114902,,5,40.63412,17.97788,Brindisi - Viale E.Fermi - di fronte Mobil Plastic,,,,
0,,212601,,6,40.654554,17.604336,Ostuni - C.da Casamassima - Direzione S. Michele,,,,
0,,218401,,7,40.641837,17.592231,Ceglie M.ca - Contrada Natalicchio - SS 581 - Dir. S.Michele,,,,
0,,240801,,8,40.532841,17.578102,Francavilla F.na - Via Di Vagno n°54,,,,
0,,217303,,9,40.645217,17.508574,Ceglie M.ca - Via S.Lorenzo di fronte Chiesa,,,,
0,,209201,,10,40.716332,17.562018,Ostuni - C.da Assorbola - Direzione Martina,,,,
0,,264501,,11,40.475531,17.962165,Cellino S. Marco - Via Bari - di fr. n°20,,,,
0,,262101,,12,40.49652,18.002532,San Pietro V.co - Via Mare,,,,
0,,223501,,13,40.657598,17.718286,San Vito dei N.nni - Via Brindisi - Penny Market - Dir.Br,,,,
0,,720201,,14,40.631294,17.628676,San Michele S.no - Via A.Volta,,,,
0,,210802,,15,40.695176,17.462195,Ostuni - Ponte Ferroviario - Direzione Ostuni,,,,
0,,201901,,16,40.738212,17.471068,Casalini - Via Brindisi n°94 - Direzione Ostuni,,,,
0,,265205,,17,40.4457,17.925068,Sandonaci - Via Vecchia Campi n° 23,,,,
0,,209302,,18,40.716007,17.561824,Ostuni - C.da S. Lucia - Direzione Ostuni,,,,
0,,217402,,19,40.643245,17.512001,Ceglie M.ca - Via Matteotti n. 66 - Di fronte,,,,
0,,269601,,20,40.447308,17.735617,Erchie - Via Pr. Erchie/Torre n. 164 dir.Torre,,,,
0,,140201,,21,40.559535,17.795367,Mesagne - Via Marconi 186,,,,
0,,260501,,22,40.486632,18.048357,Torchiarolo - Via Brindisi N. 75,,,,
0,,118401,,23,40.550132,17.8116,Mesagne - Via Foggia - civico 14,,,,
0,,239401,,24,40.560737,17.490423,Villa Castelli - C.da Antoglia - Direzione Francavilla,,,,
0,,300401,,25,40.63144,17.943295,Brindisi - Via Bastioni San Giacomo1,,,,
0,,214902,,26,40.705161,17.345891,Martina Franca - Viale De Gasperi - Dir. Martina,,,,
0,,219401,,27,40.6332,17.634728,San Michele S.no - Via della Repubblica n°40,,,,
0,,103602,,28,40.627456,17.922276,Brindisi - Via Appia - Uff. Tec. Enel,,,,
0,,117701,,29,40.56031,17.8066,Mesagne - Villa Comunale - Direzione Brindisi,,,,
0,,224002,,30,40.656304,17.740597,SS16 S.Vito Br - Km 899 - Villa Lidia - Dir. SVi,,,,
0,,261001,,31,40.48273,18.003345,San Pietro V.co - Via Lecce n. 201 - Di Fronte,,,,
0,,214501,,32,40.833959,17.365671,Fasano - Istituto Alberghiero,,,,
0,,241902,,33,40.527604,17.581584,Francavilla F.na - Via S. Francesco n°110,,,,
0,,210401,,34,40.700878,17.491507,Ostuni - C.da Pozzo Colonna - Direzione Cisternino,,,,
0,,209002,,35,40.716466,17.61902,SS16 Car Ost -  Villa Lucia - Direzione Ostuni,,,,
0,,269212,,36,40.461072,17.743269,Torre S. Susanna - Via Tevere n°26,,,,
0,,10802,,37,40.545387,17.951789,Brindisi - Tuturano - Via Stazione -  Carab. - Dir. Tuturano,,,,
0,,202002,,38,40.737517,17.473745,Casalini - Via Brindisi n°140 - Direzione Cisternino,,,,
0,,211401,,39,40.704523,17.388502,Ostuni - Masseria il Gallo - Direzione Martina,,,,
0,,200201,,40,40.743251,17.425094,Cisternino - Via Roma 78,,,,
0,,206501,,41,40.726311,17.579406,Ostuni - Via Giovanni XXIII (di fr. Esso),,,,
0,,269401,,42,40.464867,17.732993,Torre S. Susanna - Via P. Togliatti n°5,,,,
0,,220401,,43,40.614297,17.637417,San Michele S.no - SP48 dir. Francavilla,,,,
0,,722201,,44,40.560232,17.715006,Latiano - Rondo' Cimitero,,,,
0,,218202,,45,40.641376,17.578656,SP581 - Cotrada Faddocchia  Dir. Ceglie,,,,
0,,200902,,46,40.75737,17.423768,Cisternino - S. P. 9 - Concessionaria Fiat - Dir. Cisternino,,,,
0,,201602,,47,40.741527,17.434396,SP17 - Via Ostuni - Cimitero - Dir. Cisternino,,,,
0,,14161,,48,40.559232,17.792092,Mesagne - Via Marconi ang. Via Gramsci,,,,
0,,208302,,49,40.72416,17.595684,SS16 Car Ost -  Villa Specchia - Direzione Ostuni,,,,
0,,203602,,50,40.842862,17.375832,Fasano - S. P. 4 - Villa Schiavone - Dir. Fasano,,,,
0,,241201,,51,40.52828,17.578239,Francavilla F.na - Via S. Francesco n°305,,,,
0,,242701,,52,40.532347,17.586977,Francavilla F.na - Via Baracca n°3,,,,
0,,203502,,53,40.839894,17.376655,Fasano - Ipermercato Conforama dir. Fasano,,,,
0,,220301,,54,40.617688,17.636431,San Michele S.no - Ctd Agnisdei - Direzione Francavilla,,,,
0,,222701,,55,40.65261,17.711546,San Vito dei N.nni - Via Mesagne n°158,,,,
0,,261901,,56,40.49591,17.994777,San Pietro V.co - Via Brindisi n°266,,,,
0,,243302,,57,40.53119,17.59897,Francavilla F.na - Via Abbadessa - Scuole Elementari,,,,
