shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
"1","40.625475","17.916341","1",""
"1","40.627157","17.916644","2",""
"1","40.627157","17.916644","3",""
"1","40.627456","17.922276","4",""
"1","40.627456","17.922276","5",""
"1","40.628747","17.926194","6",""
"1","40.628747","17.926194","7",""
"1","40.626946","17.927428","8",""
"1","40.626946","17.927428","9",""
"1","40.62654","17.929468","10",""
"1","40.62654","17.929468","11",""
"1","40.62769","17.930904","12",""
"1","40.62769","17.930904","13",""
"1","40.628944","17.932141","14",""
"1","40.628944","17.932141","15",""
"1","40.630403","17.934486","16",""
"1","40.630403","17.934486","17",""
"1","40.631168","17.935991","18",""
"1","40.631168","17.935991","19",""
"1","40.63241","17.93839","20",""
"1","40.63241","17.93839","21",""
"1","40.63377","17.93814","22",""
"1","40.63377","17.93814","23",""
"1","40.636148","17.936625","24",""
"1","40.636148","17.936625","25",""
"1","40.637551","17.936024","26",""
"1","40.637551","17.936024","27",""
"1","40.637183","17.938453","28",""
"1","40.637183","17.938453","29",""
"1","40.63452","17.93981","30",""
"1","40.63452","17.93981","31",""
"1","40.634146","17.940316","32",""
"1","40.634146","17.940316","33",""
"1","40.63144","17.943295","34",""
"1","40.63144","17.943295","35",""
"1","40.631205","17.945842","36",""
"1","40.631205","17.945842","37",""
"1","40.629039","17.947796","38",""
"1","40.629039","17.947796","39",""
"1","40.622518","17.949585","40",""
"1","40.622518","17.949585","41",""
"1","40.623133","17.95207","42",""
"1","40.623133","17.95207","43",""
"1","40.623688","17.954149","44",""
"1","40.623688","17.954149","45",""
"1","40.625227","17.954184","46",""
"1","40.625227","17.954184","47",""
"1","40.626927","17.954808","48",""
"1","40.626927","17.954808","49",""
"1","40.62736","17.95642","50",""
"1","40.62736","17.95642","51",""
"1","40.628529","17.957514","52",""
"1","40.628529","17.957514","53",""
"1","40.62854","17.95751","54",""
"1","40.62854","17.95751","55",""
"1","40.629631","17.954353","56",""
"1","40.629631","17.954353","57",""
"1","40.631748","17.952361","58",""
"1","40.631748","17.952361","59",""
"1","40.62907","17.947887","60",""
"1","40.62907","17.947887","61",""
"1","40.631497","17.946127","62",""
"1","40.631497","17.946127","63",""
"1","40.6331","17.941687","64",""
"1","40.6331","17.941687","65",""
"1","40.635698","17.940756","66",""
"1","40.635698","17.940756","67",""
"1","40.636435","17.939353","68",""
"1","40.636435","17.939353","69",""
"1","40.637502","17.935865","70",""
"1","40.637502","17.935865","71",""
"1","40.63537","17.93695","72",""
"1","40.63537","17.93695","73",""
"1","40.6314","17.936192","74",""
"1","40.6314","17.936192","75",""
"1","40.630194","17.933867","76",""
"1","40.630194","17.933867","77",""
"1","40.628106","17.931366","78",""
"1","40.628106","17.931366","79",""
"1","40.628009","17.930904","80",""
"1","40.628009","17.930904","81",""
"1","40.62699","17.930085","82",""
"1","40.62699","17.930085","83",""
"1","40.627121","17.927595","84",""
"1","40.627121","17.927595","85",""
"1","40.62862","17.926463","86",""
"1","40.62862","17.926463","87",""
"1","40.628743","17.924341","88",""
"1","40.628743","17.924341","89",""
"1","40.627337","17.922081","90",""
"1","40.627337","17.922081","91",""
"1","40.625576","17.918698","92",""
"1","40.625576","17.918698","93",""
"1","40.625475","17.916341","94",""
"2","40.620501","17.917399","1",""
"2","40.620526","17.914616","2",""
"2","40.620526","17.914616","3",""
"2","40.619661","17.915427","4",""
"2","40.619661","17.915427","5",""
"2","40.619372","17.917542","6",""
"2","40.619372","17.917542","7",""
"2","40.619204","17.919903","8",""
"2","40.619204","17.919903","9",""
"2","40.619275","17.924386","10",""
"2","40.619275","17.924386","11",""
"2","40.61752","17.92541","12",""
"2","40.61752","17.92541","13",""
"2","40.616987","17.927085","14",""
"2","40.616987","17.927085","15",""
"2","40.617907","17.932843","16",""
"2","40.617907","17.932843","17",""
"2","40.619344","17.933388","18",""
"2","40.619344","17.933388","19",""
"2","40.620698","17.924057","20",""
"2","40.620698","17.924057","21",""
"2","40.620394","17.921873","22",""
"2","40.620394","17.921873","23",""
"2","40.623874","17.927554","24",""
"2","40.623874","17.927554","25",""
"2","40.625808","17.928514","26",""
"2","40.625808","17.928514","27",""
"2","40.627121","17.927595","28",""
"2","40.627121","17.927595","29",""
"2","40.62862","17.926463","30",""
"2","40.62862","17.926463","31",""
"2","40.630768","17.928054","32",""
"2","40.630768","17.928054","33",""
"2","40.632259","17.930659","34",""
"2","40.632259","17.930659","35",""
"2","40.630403","17.934486","36",""
"2","40.630403","17.934486","37",""
"2","40.631168","17.935991","38",""
"2","40.631168","17.935991","39",""
"2","40.629801","17.938807","40",""
"2","40.629801","17.938807","41",""
"2","40.6331","17.941687","42",""
"2","40.6331","17.941687","43",""
"2","40.634146","17.940316","44",""
"2","40.634146","17.940316","45",""
"2","40.63144","17.943295","46",""
"2","40.63144","17.943295","47",""
"2","40.631205","17.945842","48",""
"2","40.631205","17.945842","49",""
"2","40.628869","17.948114","50",""
"2","40.628869","17.948114","51",""
"2","40.631723","17.951648","52",""
"2","40.631723","17.951648","53",""
"2","40.63726","17.95465","54",""
"2","40.63726","17.95465","55",""
"2","40.63884","17.9548","56",""
"2","40.63884","17.9548","57",""
"2","40.632394","17.954966","58",""
"2","40.632394","17.954966","59",""
"2","40.63096","17.957256","60",""
"2","40.63096","17.957256","61",""
"2","40.629328","17.95987","62",""
"2","40.629328","17.95987","63",""
"2","40.63453","17.97124","64",""
"2","40.63453","17.97124","65",""
"2","40.63665","17.97455","66",""
"2","40.63665","17.97455","67",""
"2","40.63391","17.97786","68",""
"2","40.63391","17.97786","69",""
"2","40.62873","17.98046","70",""
"2","40.62873","17.98046","71",""
"2","40.62469","17.99002","72",""
"2","40.62469","17.99002","73",""
"2","40.62897","17.98052","74",""
"2","40.62897","17.98052","75",""
"2","40.63412","17.97788","76",""
"2","40.63412","17.97788","77",""
"2","40.63822","17.97695","78",""
"2","40.63822","17.97695","79",""
"2","40.64413","17.98865","80",""
"2","40.64413","17.98865","81",""
"2","40.64365","17.99088","82",""
"3","40.62469","17.99002","1",""
"3","40.62897","17.98052","2",""
"3","40.62897","17.98052","3",""
"3","40.63412","17.97788","4",""
"3","40.63412","17.97788","5",""
"3","40.63822","17.97695","6",""
"3","40.63822","17.97695","7",""
"3","40.64413","17.98865","8",""
"3","40.64413","17.98865","9",""
"3","40.64365","17.99088","10",""
"3","40.64365","17.99088","11",""
"3","40.64272","17.9858","12",""
"3","40.64272","17.9858","13",""
"3","40.64439","17.98901","14",""
"3","40.64439","17.98901","15",""
"3","40.63954","17.97882","16",""
"3","40.63954","17.97882","17",""
"3","40.63474","17.97136","18",""
"3","40.63474","17.97136","19",""
"3","40.63016","17.96422","20",""
"3","40.63016","17.96422","21",""
"3","40.63726","17.95465","22",""
"3","40.63726","17.95465","23",""
"3","40.63884","17.9548","24",""
"3","40.63884","17.9548","25",""
"3","40.632069","17.951717","26",""
"3","40.632069","17.951717","27",""
"3","40.62907","17.947887","28",""
"3","40.62907","17.947887","29",""
"3","40.631497","17.946127","30",""
"3","40.631497","17.946127","31",""
"3","40.6331","17.941687","32",""
"3","40.6331","17.941687","33",""
"3","40.634146","17.940316","34",""
"3","40.634146","17.940316","35",""
"3","40.63144","17.943295","36",""
"3","40.63144","17.943295","37",""
"3","40.630779","17.937911","38",""
"3","40.630779","17.937911","39",""
"3","40.6314","17.936192","40",""
"3","40.6314","17.936192","41",""
"3","40.630194","17.933867","42",""
"3","40.630194","17.933867","43",""
"3","40.628106","17.931366","44",""
"3","40.628106","17.931366","45",""
"3","40.627513","17.931368","46",""
"3","40.627513","17.931368","47",""
"3","40.625496","17.929891","48",""
"3","40.625496","17.929891","49",""
"3","40.624","17.926967","50",""
"3","40.624","17.926967","51",""
"3","40.619914","17.918801","52",""
"3","40.619914","17.918801","53",""
"3","40.620346","17.92135","54",""
"3","40.620346","17.92135","55",""
"3","40.620202","17.923583","56",""
"3","40.620202","17.923583","57",""
"3","40.62095","17.926065","58",""
"3","40.62095","17.926065","59",""
"3","40.61752","17.92541","60",""
"3","40.61752","17.92541","61",""
"3","40.618389","17.925719","62",""
"3","40.618389","17.925719","63",""
"3","40.619842","17.926524","64",""
"4","40.621771","17.957497","1",""
"4","40.634146","17.940316","2",""
"4","40.634146","17.940316","3",""
"4","40.621771","17.957497","4",""
"5","40.625475","17.916341","1",""
"5","40.620526","17.914616","2",""
"5","40.620526","17.914616","3",""
"5","40.619661","17.915427","4",""
"5","40.619661","17.915427","5",""
"5","40.619372","17.917542","6",""
"5","40.619372","17.917542","7",""
"5","40.619204","17.919903","8",""
"5","40.619204","17.919903","9",""
"5","40.619275","17.924386","10",""
"5","40.619275","17.924386","11",""
"5","40.61752","17.92541","12",""
"5","40.61752","17.92541","13",""
"5","40.616987","17.927085","14",""
"5","40.616987","17.927085","15",""
"5","40.618094","17.926774","16",""
"5","40.618094","17.926774","17",""
"5","40.619228","17.928087","18",""
"5","40.619228","17.928087","19",""
"5","40.619344","17.933388","20",""
"5","40.619344","17.933388","21",""
"5","40.621559","17.932946","22",""
"5","40.621559","17.932946","23",""
"5","40.62366","17.930662","24",""
"5","40.62366","17.930662","25",""
"5","40.62423","17.929539","26",""
"5","40.62423","17.929539","27",""
"5","40.625782","17.93069","28",""
"5","40.625782","17.93069","29",""
"5","40.627454","17.931298","30",""
"5","40.627454","17.931298","31",""
"5","40.628944","17.932141","32",""
"5","40.628944","17.932141","33",""
"5","40.630403","17.934486","34",""
"5","40.630403","17.934486","35",""
"5","40.631168","17.935991","36",""
"5","40.631168","17.935991","37",""
"5","40.629801","17.938807","38",""
"5","40.629801","17.938807","39",""
"5","40.6331","17.941687","40",""
"5","40.6331","17.941687","41",""
"5","40.635698","17.940756","42",""
"5","40.635698","17.940756","43",""
"5","40.636435","17.939353","44",""
"5","40.636435","17.939353","45",""
"5","40.637439","17.93155","46",""
"5","40.637439","17.93155","47",""
"5","40.638669","17.927463","48",""
"5","40.638669","17.927463","49",""
"5","40.645393","17.920522","50",""
"5","40.645393","17.920522","51",""
"5","40.647465","17.916811","52",""
"5","40.647465","17.916811","53",""
"5","40.648686","17.914277","54",""
"5","40.648686","17.914277","55",""
"5","40.649666","17.91331","56",""
"5","40.649666","17.91331","57",""
"5","40.650942","17.914387","58",""
"5","40.650942","17.914387","59",""
"5","40.6518","17.915584","60",""
"5","40.6518","17.915584","61",""
"5","40.64983","17.91618","62",""
"5","40.64983","17.91618","63",""
"5","40.649281","17.916951","64",""
"5","40.649281","17.916951","65",""
"5","40.647937","17.916222","66",""
"5","40.647937","17.916222","67",""
"5","40.647576","17.916566","68",""
"5","40.647576","17.916566","69",""
"5","40.646583","17.918024","70",""
"5","40.646583","17.918024","71",""
"5","40.645191","17.920734","72",""
"5","40.645191","17.920734","73",""
"5","40.644301","17.92357","74",""
"5","40.644301","17.92357","75",""
"5","40.644338","17.923966","76",""
"5","40.644338","17.923966","77",""
"5","40.644496","17.92518","78",""
"5","40.644496","17.92518","79",""
"5","40.644477","17.931516","80",""
"5","40.644477","17.931516","81",""
"5","40.646952","17.936598","82",""
"5","40.646952","17.936598","83",""
"5","40.648292","17.938503","84",""
"5","40.648292","17.938503","85",""
"5","40.648597","17.942039","86",""
"5","40.648597","17.942039","87",""
"5","40.648777","17.94512","88",""
"5","40.648777","17.94512","89",""
"5","40.650807","17.948728","90",""
"5","40.650807","17.948728","91",""
"5","40.654836","17.955478","92",""
"5","40.654836","17.955478","93",""
"5","40.65548","17.956192","94",""
"5","40.65548","17.956192","95",""
"5","40.658323","17.957737","96",""
"5","40.658323","17.957737","97",""
"5","40.660431","17.957913","98",""
"5","40.660431","17.957913","99",""
"5","40.664269","17.951298","100",""
"5","40.664269","17.951298","101",""
"5","40.668391","17.947733","102",""
"5","40.668391","17.947733","103",""
"5","40.6658","17.94926","104",""
"5","40.6658","17.94926","105",""
"5","40.671203","17.946082","106",""
"5","40.671203","17.946082","107",""
"5","40.673541","17.94538","108",""
"5","40.673541","17.94538","109",""
"5","40.678709","17.937121","110",""
"5","40.678709","17.937121","111",""
"5","40.679453","17.933213","112",""
"6","40.679453","17.933213","1",""
"6","40.678827","17.936509","2",""
"6","40.678827","17.936509","3",""
"6","40.674","17.94515","4",""
"6","40.674","17.94515","5",""
"6","40.67398","17.945224","6",""
"6","40.67398","17.945224","7",""
"6","40.67171","17.94583","8",""
"6","40.67171","17.94583","9",""
"6","40.66769","17.94824","10",""
